rule_id,rule_tag,rule_name,criteria,description,applicable_data_types,implementation_source
LOG04,specific,field_count_stable,STR,Số field mỗi dòng ổn định,txt_log,Custom: field_count_stable() — existing in taxonomy_probe.py
GEO01,specific,feature_collection,STR,Root type là FeatureCollection,geojson,Custom: geojson_type_check() — existing in taxonomy_probe.py
GEO02,specific,geometry_present,CMP,Mỗi feature có geometry,geojson,Custom: geometry_present() — existing in taxonomy_probe.py
GEO03,specific,coordinate_range,ACC,"lat ∈ [-90,90], lon ∈ [-180,180]",geojson,Custom: coordinate_range_check()
GEO04,specific,geometry_type_whitelist,ACC,Geometry type thuộc danh sách RFC 7946,geojson,Custom: geometry_type_whitelist()
OSM01,specific,element_type_valid,STR,Element là node/way/relation,osm,Custom: osm_element_check() — existing in taxonomy_probe.py
OSM02,specific,node_latlon_present,CMP,Node có lat và lon,osm,Custom: node_latlon_check() — existing in taxonomy_probe.py
OSM03,specific,tag_completeness,CMP,Tỷ lệ element có ít nhất 1 tag,osm,Custom: tag_completeness() — existing in taxonomy_probe.py
ARC01,specific,archive_openable,SYN,Archive giải nén không lỗi,archives,Custom: archive_open_check() — existing in taxonomy_probe.py
ARC02,specific,path_traversal_check,SEC,Không có member path chứa ../,archives,Custom: path_traversal_check() — existing in taxonomy_probe.py
ARC03,specific,executable_scan,SEC,Không có file .exe/.sh/.bat trong archive,archives,Custom: executable_scan() — existing in taxonomy_probe.py
ARC04,specific,checksum_verify,SEC,Checksum MD5/SHA khớp với nguồn,archives,Custom: checksum_verify() — existing in taxonomy_probe.py
